Date,Item Name,Item Code,Category,Brand,Item Price,Quantity,Sales
2019-11-06,Sunscreen,SUN002,Skincare,Revlon,58600,26,1523600
2019-06-29,Perfume,PER013,Fragrance,OMG,6700,38,254600
2019-03-26,Cleanser,CLE003,Skincare,Maybelline,3100,44,136400
2019-02-16,Shampoo,SHA009,Haircare,ERHA,69100,9,621900
2019-07-04,Mascara,MAS008,Makeup,Some By Me,14600,46,671600
2019-09-02,Cleanser,CLE003,Skincare,Maybelline,71000,31,2201000
2019-05-11,Conditioner,CON010,Haircare,Krayolan,28400,6,170400
2019-12-30,Cleanser,CLE003,Skincare,Maybelline,69700,12,836400
2019-11-16,Perfume,PER013,Fragrance,OMG,36900,47,1734300
2019-11-10,Sunscreen,SUN002,Skincare,Revlon,82000,11,902000
2019-01-19,Foundation,FND005,Makeup,YOU,43900,33,1448700
2019-12-30,Mascara,MAS008,Makeup,Some By Me,68700,49,3366300
2019-02-15,Body Mist,BMS015,Fragrance,Ivan Gunawan,28600,22,629200
2019-11-20,Hair Mask,HMK011,Haircare,Wardah,97100,43,4175300
2019-02-16,Roll-On Perfume,ROP016,Fragrance,Salsa,9900,7,69300
2019-07-04,Eyeshadow Palette,ESP007,Makeup,Pink Flash,96000,45,4320000
2019-07-25,Hair Mask,HMK011,Haircare,Wardah,38800,49,1901200
2019-11-01,Conditioner,CON010,Haircare,Krayolan,57300,18,1031400
2019-06-27,Roll-On Perfume,ROP016,Fragrance,Salsa,40200,37,1487400
2019-11-12,Body Mist,BMS015,Fragrance,Ivan Gunawan,38700,40,1548000
2019-10-10,Lipstick,LIP006,Makeup,BNB,65900,49,3229100
2019-04-10,Perfume,PER013,Fragrance,OMG,98900,38,3758200
2019-02-05,Moisturizer,MOI001,Skincare,Ultima,59900,46,2755400
2019-07-27,Eyeshadow Palette,ESP007,Makeup,Pink Flash,91500,17,1555500
2019-02-03,Cologne,COL014,Fragrance,Inez,92400,37,3418800
2019-11-30,Shampoo,SHA009,Haircare,ERHA,76200,37,2819400
2019-04-11,Eyeshadow Palette,ESP007,Makeup,Pink Flash,54400,28,1523200
2019-03-18,Serum,SER004,Skincare,Loreal,91600,7,641200
2019-03-28,Lipstick,LIP006,Makeup,BNB,29500,44,1298000
2019-02-14,Hair Oil,HOI012,Haircare,Make Over,70700,17,1201900
2019-09-28,Foundation,FND005,Makeup,YOU,19000,1,19000
2019-09-11,Moisturizer,MOI001,Skincare,Ultima,86500,3,259500
2019-01-31,Mascara,MAS008,Makeup,Some By Me,59700,45,2686500
2019-08-09,Hair Oil,HOI012,Haircare,Make Over,93700,40,3748000
2019-09-18,Serum,SER004,Skincare,Loreal,7900,11,86900
2019-11-03,Shampoo,SHA009,Haircare,ERHA,56500,44,2486000
2019-03-08,Conditioner,CON010,Haircare,Krayolan,73100,25,1827500
2019-02-08,Shampoo,SHA009,Haircare,ERHA,17900,43,769700
2019-06-28,Moisturizer,MOI001,Skincare,Ultima,71900,15,1078500
2019-01-15,Cologne,COL014,Fragrance,Inez,56300,27,1520100
2019-09-14,Foundation,FND005,Makeup,YOU,8000,33,264000
2019-05-20,Moisturizer,MOI001,Skincare,Ultima,79800,6,478800
2019-12-29,Moisturizer,MOI001,Skincare,Ultima,62100,40,2484000
2019-07-26,Hair Mask,HMK011,Haircare,Wardah,78200,1,78200
2019-09-21,Shampoo,SHA009,Haircare,ERHA,42900,25,1072500
2019-05-06,Sunscreen,SUN002,Skincare,Revlon,81100,39,3162900
2019-10-01,Eyeshadow Palette,ESP007,Makeup,Pink Flash,80000,4,320000
2019-02-23,Sunscreen,SUN002,Skincare,Revlon,8700,22,191400
2019-05-20,Perfume,PER013,Fragrance,OMG,54900,18,988200
2019-03-14,Cleanser,CLE003,Skincare,Maybelline,13400,7,93800
2019-05-29,Hair Oil,HOI012,Haircare,Make Over,84300,18,1517400
2019-01-21,Conditioner,CON010,Haircare,Krayolan,85900,29,2491100
2019-05-29,Perfume,PER013,Fragrance,OMG,83400,49,4086600
2019-06-15,Cleanser,CLE003,Skincare,Maybelline,41500,48,1992000
2019-03-11,Roll-On Perfume,ROP016,Fragrance,Salsa,45300,22,996600
2019-04-02,Hair Mask,HMK011,Haircare,Wardah,63500,46,2921000
2019-10-27,Conditioner,CON010,Haircare,Krayolan,41900,5,209500
2019-06-23,Shampoo,SHA009,Haircare,ERHA,10100,35,353500
2019-12-15,Mascara,MAS008,Makeup,Some By Me,70700,9,636300
2019-07-22,Serum,SER004,Skincare,Loreal,68800,3,206400
2019-04-22,Foundation,FND005,Makeup,YOU,62800,15,942000
2019-03-28,Body Mist,BMS015,Fragrance,Ivan Gunawan,87800,1,87800
2019-06-27,Foundation,FND005,Makeup,YOU,77300,11,850300
2019-09-14,Mascara,MAS008,Makeup,Some By Me,61300,2,122600
2019-10-08,Hair Mask,HMK011,Haircare,Wardah,58400,5,292000
2019-09-10,Serum,SER004,Skincare,Loreal,8700,7,60900
2019-10-22,Shampoo,SHA009,Haircare,ERHA,43100,1,43100
2019-05-12,Cleanser,CLE003,Skincare,Maybelline,24400,3,73200
2019-01-12,Body Mist,BMS015,Fragrance,Ivan Gunawan,21900,34,744600
2019-02-01,Body Mist,BMS015,Fragrance,Ivan Gunawan,37200,21,781200
2019-03-12,Shampoo,SHA009,Haircare,ERHA,27900,46,1283400
2019-05-27,Shampoo,SHA009,Haircare,ERHA,43400,18,781200
2019-01-10,Eyeshadow Palette,ESP007,Makeup,Pink Flash,88500,43,3805500
2019-03-10,Sunscreen,SUN002,Skincare,Revlon,34100,14,477400
2019-07-08,Moisturizer,MOI001,Skincare,Ultima,9800,6,58800
2019-09-03,Body Mist,BMS015,Fragrance,Ivan Gunawan,27600,8,220800
2019-07-01,Cleanser,CLE003,Skincare,Maybelline,25000,20,500000
2019-11-18,Hair Mask,HMK011,Haircare,Wardah,90800,35,3178000
2019-06-26,Sunscreen,SUN002,Skincare,Revlon,40900,10,409000
2019-06-07,Lipstick,LIP006,Makeup,BNB,38800,4,155200
2019-04-05,Cologne,COL014,Fragrance,Inez,46900,24,1125600
2019-07-29,Mascara,MAS008,Makeup,Some By Me,69000,18,1242000
2019-12-12,Perfume,PER013,Fragrance,OMG,15900,49,779100
2019-06-02,Body Mist,BMS015,Fragrance,Ivan Gunawan,54000,39,2106000
2019-04-04,Moisturizer,MOI001,Skincare,Ultima,99400,42,4174800
2019-04-06,Hair Oil,HOI012,Haircare,Make Over,94300,25,2357500
2019-06-10,Cleanser,CLE003,Skincare,Maybelline,14000,47,658000
2019-05-25,Cologne,COL014,Fragrance,Inez,63300,33,2088900
2019-11-27,Shampoo,SHA009,Haircare,ERHA,4400,43,189200
2019-08-28,Shampoo,SHA009,Haircare,ERHA,80200,37,2967400
2019-01-08,Sunscreen,SUN002,Skincare,Revlon,88100,34,2995400
2019-10-16,Lipstick,LIP006,Makeup,BNB,82000,17,1394000
2019-11-17,Eyeshadow Palette,ESP007,Makeup,Pink Flash,88100,42,3700200
2019-03-10,Cleanser,CLE003,Skincare,Maybelline,1200,46,55200
2019-05-01,Sunscreen,SUN002,Skincare,Revlon,79200,30,2376000
2019-03-22,Serum,SER004,Skincare,Loreal,1400,22,30800
2019-07-26,Foundation,FND005,Makeup,YOU,17700,29,513300
2019-06-17,Shampoo,SHA009,Haircare,ERHA,17500,32,560000
2019-07-22,Eyeshadow Palette,ESP007,Makeup,Pink Flash,10200,25,255000
2019-04-28,Roll-On Perfume,ROP016,Fragrance,Salsa,35500,39,1384500
2019-11-18,Hair Oil,HOI012,Haircare,Make Over,22300,3,66900
2019-06-12,Roll-On Perfume,ROP016,Fragrance,Salsa,52100,27,1406700
2019-11-22,Roll-On Perfume,ROP016,Fragrance,Salsa,35100,11,386100
2019-08-24,Hair Oil,HOI012,Haircare,Make Over,41000,7,287000
2019-06-11,Conditioner,CON010,Haircare,Krayolan,26100,13,339300
2019-05-05,Moisturizer,MOI001,Skincare,Ultima,93300,48,4478400
2019-04-23,Eyeshadow Palette,ESP007,Makeup,Pink Flash,40700,3,122100
2019-07-27,Roll-On Perfume,ROP016,Fragrance,Salsa,65900,10,659000
2019-05-20,Sunscreen,SUN002,Skincare,Revlon,39300,50,1965000
2019-07-25,Lipstick,LIP006,Makeup,BNB,30900,2,61800
2019-12-12,Shampoo,SHA009,Haircare,ERHA,19300,24,463200
2019-02-18,Moisturizer,MOI001,Skincare,Ultima,53000,33,1749000
2019-12-16,Mascara,MAS008,Makeup,Some By Me,61600,37,2279200
2019-11-16,Perfume,PER013,Fragrance,OMG,21300,46,979800
2019-02-02,Moisturizer,MOI001,Skincare,Ultima,76700,1,76700
2019-06-25,Serum,SER004,Skincare,Loreal,52600,12,631200
2019-04-08,Eyeshadow Palette,ESP007,Makeup,Pink Flash,3600,33,118800
2019-02-12,Lipstick,LIP006,Makeup,BNB,35900,6,215400
2019-09-08,Cologne,COL014,Fragrance,Inez,12300,9,110700
2019-03-28,Mascara,MAS008,Makeup,Some By Me,6300,1,6300
2019-04-17,Perfume,PER013,Fragrance,OMG,54900,30,1647000
2019-08-13,Lipstick,LIP006,Makeup,BNB,96000,17,1632000
2019-11-12,Eyeshadow Palette,ESP007,Makeup,Pink Flash,69500,4,278000
2019-07-27,Perfume,PER013,Fragrance,OMG,94900,36,3416400
2019-02-04,Sunscreen,SUN002,Skincare,Revlon,92400,40,3696000
2019-12-20,Eyeshadow Palette,ESP007,Makeup,Pink Flash,6500,20,130000
2019-11-15,Moisturizer,MOI001,Skincare,Ultima,32700,35,1144500
2019-02-26,Mascara,MAS008,Makeup,Some By Me,73500,37,2719500
2019-04-08,Hair Oil,HOI012,Haircare,Make Over,87000,3,261000
2019-07-19,Hair Oil,HOI012,Haircare,Make Over,95700,34,3253800
2019-09-28,Sunscreen,SUN002,Skincare,Revlon,39000,35,1365000
2019-03-18,Serum,SER004,Skincare,Loreal,41800,29,1212200
2019-05-08,Eyeshadow Palette,ESP007,Makeup,Pink Flash,93600,38,3556800
2019-03-16,Cleanser,CLE003,Skincare,Maybelline,78400,31,2430400
2019-03-02,Eyeshadow Palette,ESP007,Makeup,Pink Flash,84600,6,507600
2019-05-02,Hair Mask,HMK011,Haircare,Wardah,10200,36,367200
2019-09-10,Roll-On Perfume,ROP016,Fragrance,Salsa,2500,5,12500
2019-10-14,Body Mist,BMS015,Fragrance,Ivan Gunawan,30300,45,1363500
2019-11-16,Serum,SER004,Skincare,Loreal,68900,27,1860300
2019-11-05,Mascara,MAS008,Makeup,Some By Me,41300,44,1817200
2019-06-30,Perfume,PER013,Fragrance,OMG,71100,35,2488500
2019-05-10,Eyeshadow Palette,ESP007,Makeup,Pink Flash,73000,26,1898000
2019-03-15,Body Mist,BMS015,Fragrance,Ivan Gunawan,99100,32,3171200
2019-04-17,Sunscreen,SUN002,Skincare,Revlon,33000,6,198000
2019-04-15,Foundation,FND005,Makeup,YOU,45800,20,916000
2019-03-17,Serum,SER004,Skincare,Loreal,86700,12,1040400
2019-04-27,Cleanser,CLE003,Skincare,Maybelline,42900,2,85800
2019-04-24,Perfume,PER013,Fragrance,OMG,12000,3,36000
2019-11-24,Conditioner,CON010,Haircare,Krayolan,45500,4,182000
2019-07-27,Moisturizer,MOI001,Skincare,Ultima,93800,48,4502400
2019-06-24,Shampoo,SHA009,Haircare,ERHA,15700,22,345400
2019-01-27,Hair Oil,HOI012,Haircare,Make Over,65100,47,3059700
2019-07-09,Hair Mask,HMK011,Haircare,Wardah,21100,15,316500
2019-07-21,Body Mist,BMS015,Fragrance,Ivan Gunawan,7400,46,340400
2019-02-15,Eyeshadow Palette,ESP007,Makeup,Pink Flash,66100,34,2247400
2019-06-11,Body Mist,BMS015,Fragrance,Ivan Gunawan,19400,29,562600
2019-07-17,Hair Mask,HMK011,Haircare,Wardah,90900,15,1363500
2019-06-26,Conditioner,CON010,Haircare,Krayolan,38000,25,950000
2019-12-07,Lipstick,LIP006,Makeup,BNB,9100,14,127400
2019-11-18,Lipstick,LIP006,Makeup,BNB,88400,48,4243200
2019-03-07,Hair Oil,HOI012,Haircare,Make Over,88300,28,2472400
2019-02-17,Mascara,MAS008,Makeup,Some By Me,86100,40,3444000
2019-08-17,Moisturizer,MOI001,Skincare,Ultima,36600,50,1830000
2019-08-13,Eyeshadow Palette,ESP007,Makeup,Pink Flash,88600,7,620200
2019-01-04,Sunscreen,SUN002,Skincare,Revlon,13100,20,262000
2019-10-13,Sunscreen,SUN002,Skincare,Revlon,37300,24,895200
2019-02-26,Perfume,PER013,Fragrance,OMG,52000,37,1924000
2019-09-07,Sunscreen,SUN002,Skincare,Revlon,95700,4,382800
2019-07-24,Serum,SER004,Skincare,Loreal,25200,33,831600
2019-12-21,Cleanser,CLE003,Skincare,Maybelline,40100,47,1884700
2019-08-16,Conditioner,CON010,Haircare,Krayolan,67200,7,470400
2019-01-17,Conditioner,CON010,Haircare,Krayolan,17000,1,17000
2019-08-16,Body Mist,BMS015,Fragrance,Ivan Gunawan,3900,45,175500
2019-01-21,Serum,SER004,Skincare,Loreal,15300,14,214200
2019-12-31,Foundation,FND005,Makeup,YOU,75900,11,834900
2019-01-07,Moisturizer,MOI001,Skincare,Ultima,9200,49,450800
2019-01-10,Moisturizer,MOI001,Skincare,Ultima,64300,18,1157400
2019-05-22,Roll-On Perfume,ROP016,Fragrance,Salsa,6500,41,266500
2019-09-30,Hair Oil,HOI012,Haircare,Make Over,52400,49,2567600
2019-09-30,Conditioner,CON010,Haircare,Krayolan,82600,16,1321600
2019-02-18,Eyeshadow Palette,ESP007,Makeup,Pink Flash,38500,27,1039500
2019-09-06,Serum,SER004,Skincare,Loreal,92700,4,370800
2019-06-17,Mascara,MAS008,Makeup,Some By Me,53200,42,2234400
2019-04-28,Hair Oil,HOI012,Haircare,Make Over,63400,42,2662800
2019-03-18,Foundation,FND005,Makeup,YOU,22300,12,267600
2019-07-22,Shampoo,SHA009,Haircare,ERHA,48300,23,1110900
2019-08-02,Eyeshadow Palette,ESP007,Makeup,Pink Flash,58000,34,1972000
2019-09-10,Shampoo,SHA009,Haircare,ERHA,65700,14,919800
2019-01-12,Moisturizer,MOI001,Skincare,Ultima,26000,30,780000
2019-06-18,Cleanser,CLE003,Skincare,Maybelline,1500,34,51000
2019-06-06,Cleanser,CLE003,Skincare,Maybelline,60300,14,844200
2019-08-11,Roll-On Perfume,ROP016,Fragrance,Salsa,13100,12,157200
2019-08-22,Conditioner,CON010,Haircare,Krayolan,2800,41,114800
2019-12-09,Shampoo,SHA009,Haircare,ERHA,42700,8,341600
2019-05-04,Shampoo,SHA009,Haircare,ERHA,94600,49,4635400
2019-06-21,Sunscreen,SUN002,Skincare,Revlon,27300,37,1010100
2019-04-07,Sunscreen,SUN002,Skincare,Revlon,2900,36,104400
2019-02-03,Lipstick,LIP006,Makeup,BNB,65800,36,2368800
2019-02-15,Foundation,FND005,Makeup,YOU,12100,39,471900
2019-05-03,Moisturizer,MOI001,Skincare,Ultima,84100,44,3700400
2019-07-28,Hair Oil,HOI012,Haircare,Make Over,5300,19,100700
2019-01-06,Body Mist,BMS015,Fragrance,Ivan Gunawan,14500,29,420500
2019-05-07,Moisturizer,MOI001,Skincare,Ultima,44000,11,484000
2019-07-09,Hair Oil,HOI012,Haircare,Make Over,92600,15,1389000
2019-10-04,Roll-On Perfume,ROP016,Fragrance,Salsa,63800,37,2360600
2019-08-31,Foundation,FND005,Makeup,YOU,92200,40,3688000
2019-05-16,Conditioner,CON010,Haircare,Krayolan,62000,14,868000
2019-01-21,Lipstick,LIP006,Makeup,BNB,24200,24,580800
2019-12-25,Body Mist,BMS015,Fragrance,Ivan Gunawan,66600,6,399600
2019-12-04,Foundation,FND005,Makeup,YOU,69900,19,1328100
2019-10-05,Lipstick,LIP006,Makeup,BNB,93900,20,1878000
2019-02-12,Mascara,MAS008,Makeup,Some By Me,2500,25,62500
2019-07-03,Conditioner,CON010,Haircare,Krayolan,31400,25,785000
2019-04-17,Shampoo,SHA009,Haircare,ERHA,55800,41,2287800
2019-05-01,Eyeshadow Palette,ESP007,Makeup,Pink Flash,68400,43,2941200
2019-11-11,Hair Mask,HMK011,Haircare,Wardah,19400,29,562600
2019-05-12,Body Mist,BMS015,Fragrance,Ivan Gunawan,7700,49,377300
2019-05-14,Cleanser,CLE003,Skincare,Maybelline,58000,4,232000
2019-12-25,Roll-On Perfume,ROP016,Fragrance,Salsa,78000,48,3744000
2019-08-18,Cleanser,CLE003,Skincare,Maybelline,89600,33,2956800
2019-11-05,Roll-On Perfume,ROP016,Fragrance,Salsa,77300,48,3710400
2019-10-24,Foundation,FND005,Makeup,YOU,67700,44,2978800
2019-07-30,Serum,SER004,Skincare,Loreal,9600,35,336000
2019-01-22,Hair Oil,HOI012,Haircare,Make Over,18400,22,404800
2019-05-26,Moisturizer,MOI001,Skincare,Ultima,37900,36,1364400
2019-10-03,Cologne,COL014,Fragrance,Inez,37500,33,1237500
2019-08-12,Hair Mask,HMK011,Haircare,Wardah,88200,14,1234800
2019-05-30,Mascara,MAS008,Makeup,Some By Me,18300,11,201300
2019-07-27,Foundation,FND005,Makeup,YOU,46000,32,1472000
2019-05-15,Body Mist,BMS015,Fragrance,Ivan Gunawan,4800,2,9600
2019-05-12,Body Mist,BMS015,Fragrance,Ivan Gunawan,11700,17,198900
2019-04-20,Hair Mask,HMK011,Haircare,Wardah,30800,6,184800
2019-12-06,Cleanser,CLE003,Skincare,Maybelline,13500,33,445500
2019-08-12,Hair Mask,HMK011,Haircare,Wardah,9100,38,345800
2019-11-18,Hair Mask,HMK011,Haircare,Wardah,80200,21,1684200
2019-10-12,Sunscreen,SUN002,Skincare,Revlon,16000,39,624000
2019-06-24,Serum,SER004,Skincare,Loreal,53600,40,2144000
2019-10-11,Cleanser,CLE003,Skincare,Maybelline,13600,27,367200
2019-03-08,Sunscreen,SUN002,Skincare,Revlon,3800,16,60800
2019-10-21,Moisturizer,MOI001,Skincare,Ultima,45700,23,1051100
2019-07-06,Eyeshadow Palette,ESP007,Makeup,Pink Flash,50400,1,50400
2019-04-27,Hair Oil,HOI012,Haircare,Make Over,69700,35,2439500
2019-10-07,Hair Mask,HMK011,Haircare,Wardah,60400,34,2053600
2019-03-12,Lipstick,LIP006,Makeup,BNB,22000,10,220000
2019-05-27,Body Mist,BMS015,Fragrance,Ivan Gunawan,85300,22,1876600
2019-07-04,Hair Mask,HMK011,Haircare,Wardah,52500,9,472500
2019-07-16,Eyeshadow Palette,ESP007,Makeup,Pink Flash,20900,39,815100
2019-05-22,Perfume,PER013,Fragrance,OMG,59000,12,708000
2019-05-05,Mascara,MAS008,Makeup,Some By Me,66100,24,1586400
2019-06-25,Shampoo,SHA009,Haircare,ERHA,44800,15,672000
2019-01-09,Hair Mask,HMK011,Haircare,Wardah,86900,50,4345000
2019-05-19,Eyeshadow Palette,ESP007,Makeup,Pink Flash,95700,48,4593600
2019-04-06,Foundation,FND005,Makeup,YOU,7500,9,67500
2019-02-11,Perfume,PER013,Fragrance,OMG,13800,3,41400
2019-02-12,Cologne,COL014,Fragrance,Inez,80000,40,3200000
2019-03-18,Roll-On Perfume,ROP016,Fragrance,Salsa,74800,17,1271600
2019-04-04,Eyeshadow Palette,ESP007,Makeup,Pink Flash,33700,10,337000
2019-11-25,Serum,SER004,Skincare,Loreal,73600,24,1766400
2019-12-01,Perfume,PER013,Fragrance,OMG,89200,45,4014000
2019-05-05,Eyeshadow Palette,ESP007,Makeup,Pink Flash,70700,13,919100
2019-03-01,Mascara,MAS008,Makeup,Some By Me,92100,7,644700
2019-03-14,Foundation,FND005,Makeup,YOU,88800,28,2486400
2019-01-03,Shampoo,SHA009,Haircare,ERHA,19800,33,653400
2019-12-06,Eyeshadow Palette,ESP007,Makeup,Pink Flash,73800,10,738000
2019-12-07,Foundation,FND005,Makeup,YOU,21000,15,315000
2019-08-25,Serum,SER004,Skincare,Loreal,99200,50,4960000
2019-08-08,Cologne,COL014,Fragrance,Inez,2700,3,8100
2019-01-05,Roll-On Perfume,ROP016,Fragrance,Salsa,79600,24,1910400
2019-07-16,Cleanser,CLE003,Skincare,Maybelline,86800,48,4166400
2019-01-14,Eyeshadow Palette,ESP007,Makeup,Pink Flash,93000,22,2046000
2019-06-21,Mascara,MAS008,Makeup,Some By Me,1300,5,6500
2019-12-14,Serum,SER004,Skincare,Loreal,5900,14,82600
2019-07-10,Foundation,FND005,Makeup,YOU,43600,11,479600
2019-03-26,Cologne,COL014,Fragrance,Inez,9000,44,396000
2019-07-17,Mascara,MAS008,Makeup,Some By Me,65800,27,1776600
2019-03-21,Foundation,FND005,Makeup,YOU,58600,10,586000
